type          ,name                                                              ,iso_country,municipality                               ,iata_code
small_airport ,Herendeen Bay Airport                                             ,US         ,Herendeen Bay                              ,HED
small_airport ,Taylor Airport                                                    ,US         ,Taylor                                     ,TWE
small_airport ,Lonely Air Station                                                ,US         ,Lonely                                     ,LNI
small_airport ,Candle 2 Airport                                                  ,US         ,Candle                                     ,CDL
small_airport ,Bartletts Airport                                                 ,US         ,Egegik                                     ,BSZ
small_airport ,Boswell Bay Airport                                               ,US         ,Boswell Bay                                ,BSW
small_airport ,Zakuoma Airport                                                   ,TD         ,ZaKouma                                    ,AKM
small_airport ,Sharpe Field                                                      ,US         ,Tuskegee                                   ,TGE
small_airport ,Mar de CortÃ©s International Airport                              ,MX         ,Puerto PeÃ±asco                            ,PPE
small_airport ,Alto Molocue Airport                                              ,MZ         ,Alto Molocue                               ,AME
small_airport ,Amanab Airport                                                    ,PG         ,Amanab                                     ,AMU
medium_airport,Nauru International Airport                                       ,NR         ,Yaren District                             ,INU
small_airport ,Angus Downs Airport                                               ,AU         ,Angus Downs Station                        ,ANZ
small_airport ,Cangamba Airport                                                  ,AO         ,Cangamba                                   ,CNZ
small_airport ,Dirico Airport                                                    ,AO         ,Dirico                                     ,DRC
small_airport ,Lumbala Airport                                                   ,AO         ,Lumbala                                    ,GGC
small_airport ,Jamba Airport                                                     ,AO         ,Jamba                                      ,JMB
small_airport ,Capanda Airport                                                   ,AO         ,Capanda                                    ,KNP
small_airport ,Ndalatandos Airport                                               ,AO         ,Ndalatandos                                ,NDF
small_airport ,Abou-DeÃ¯a Airport                                                ,TD         ,Abou-DeÃ¯a                                 ,AOD
small_airport ,April River Airport                                               ,PG         ,April River                                ,APR
small_airport ,Troll Airfield                                                    ,AQ         ,Troll Station                              ,QET
small_airport ,Girdwood Airport                                                  ,US         ,Girdwood                                   ,AQY
small_airport ,Bragado Airport                                                   ,AR         ,Bragado                                    ,QRF
small_airport ,Caleta Olivia Airport                                             ,AR         ,Caleta Olivia                              ,CVI
small_airport ,Charata Airport                                                   ,AR         ,Charata                                    ,CNT
small_airport ,General Villegas Airport                                          ,AR         ,General Villegas                           ,VGS
small_airport ,Los Menucos Airport                                               ,AR         ,Los Menucos                                ,LMD
small_airport ,Valcheta Airport                                                  ,AR         ,Valcheta                                   ,VCF
small_airport ,Sunchales Aeroclub Airport                                        ,AR         ,Sunchales                                  ,NCJ
small_airport ,Carmen De Patagones Airport                                       ,AR         ,Carmen de Patagones                        ,CPG
small_airport ,Termal Airport                                                    ,AR         ,Presidencia Roque SÃ¡enz PeÃ±a             ,PRQ
small_airport ,Colonia Sarmiento Airport                                         ,AR         ,Sarmiento                                  ,OLN
small_airport ,Tau Airport                                                       ,AS         ,Tau Village                                ,TAV
small_airport ,Namatanai Airport                                                 ,PG         ,Namatanai                                  ,ATN
small_airport ,Aitape Airport                                                    ,PG         ,Aitape                                     ,ATP
small_airport ,Lady Elliot Island Airstrip                                       ,AU         ,Lady Elliot Island                         ,LYT
small_airport ,Agnew Airport                                                     ,AU         ,Agnew                                      ,AGW
small_airport ,Alroy Downs Airport                                               ,AU         ,Alroy Downs                                ,AYD
small_airport ,Baniyala Airport                                                  ,AU         ,Baniyala                                   ,BYX
small_airport ,Coolibah Airport                                                  ,AU         ,Coolibah                                   ,COB
small_airport ,Coorabie Airport                                                  ,AU         ,Coorabie                                   ,CRJ
small_airport ,Carlton Hill Airport                                              ,AU         ,Carlton Hill                               ,CRY
small_airport ,Cresswell Downs Airport                                           ,AU         ,Cresswell Downs                            ,CSD
small_airport ,Diamantina Lakes Airport                                          ,AU         ,Diamantina Lakes                           ,DYM
small_airport ,Helenvale Airport                                                 ,AU         ,Helenvale                                  ,HLV
small_airport ,Kimberley Downs Airport                                           ,AU         ,Kimberley Downs                            ,KBD
small_airport ,Kulgera Airport                                                   ,AU         ,Kulgera                                    ,KGR
small_airport ,Miranda Downs Airport                                             ,AU         ,Miranda Downs                              ,MWY
small_airport ,Camballin Airport                                                 ,AU         ,Myroodah                                   ,MYO
small_airport ,Orchid Beach Airport                                              ,AU         ,Orchid Beach                               ,OKB
small_airport ,Peppimenarti Airport                                              ,AU         ,Peppimenarti                               ,PEP
small_airport ,Rockhampton Downs Airport                                         ,AU         ,Rockhampton Downs                          ,RDA
small_airport ,Sturt Creek Airport                                               ,AU         ,Sturt Creek                                ,SSK
small_airport ,Shaw River Airport                                                ,AU         ,Shaw River                                 ,SWB
small_airport ,Tom Price Airport                                                 ,AU         ,Tom Price                                  ,TPR
small_airport ,Torwood Airport                                                   ,AU         ,Torwood                                    ,TWP
small_airport ,Springvale Airport                                                ,AU         ,Springvale                                 ,ZVG
small_airport ,Aua Island Airport                                                ,PG         ,Aua Island                                 ,AUI
small_airport ,Ambunti Airport                                                   ,PG         ,Ambunti                                    ,AUJ
small_airport ,Aumo Airport                                                      ,PG         ,Aumo                                       ,AUV
small_airport ,Alowe Airport                                                     ,GA         ,Wonga WonguÃ© Presidential Reserve         ,AWE
medium_airport,Alxa Left Banner Bayanhot Airport                                 ,CN         ,Bayanhot                                   ,AXF
medium_airport,Buka Airport                                                      ,PG         ,Buka Island                                ,BUA
small_airport ,Biaru Airport                                                     ,PG         ,Biaru                                      ,BRP
medium_airport,Chimbu Airport                                                    ,PG         ,Kundiawa                                   ,CMU
small_airport ,Munduku Airport                                                   ,PG         ,Munduku                                    ,MDM
small_airport ,Kondobol Airport                                                  ,PG         ,Kondobol                                   ,KPF
small_airport ,Dinangat Airport                                                  ,PG         ,Dinangat                                   ,DNU
small_airport ,Doini Airport                                                     ,PG         ,Castori Islets                             ,DOI
medium_airport,Daru Airport                                                      ,PG         ,Daru                                       ,DAU
small_airport ,Embessa Airport                                                   ,PG         ,Embessa                                    ,EMS
small_airport ,Edwaki Airport                                                    ,PG         ,Yellow River Mission                       ,XYR
small_airport ,Eliptamin Airport                                                 ,PG         ,Eliptamin                                  ,EPT
small_airport ,Engati Airstrip                                                   ,PG         ,Engati                                     ,EGA
small_airport ,Emo River Airstrip                                                ,PG         ,Emo Mission                                ,EMO
small_airport ,Erume Airport                                                     ,PG         ,Erume                                      ,ERU
small_airport ,Meselia Airport                                                   ,PG         ,Demgulu                                    ,MFZ
small_airport ,Feramin Airport                                                   ,PG         ,Feramin                                    ,FRQ
small_airport ,Frieda River Airport                                              ,PG         ,Frieda River                               ,FAQ
small_airport ,Fuma Airport                                                      ,PG         ,Fuma                                       ,FUM
medium_airport,Goroka Airport                                                    ,PG         ,Goronka                                    ,GKA
small_airport ,Guari Airport                                                     ,PG         ,Guari                                      ,GUG
small_airport ,Garasa Airport                                                    ,PG         ,Au                                         ,GRL
medium_airport,Gurney Airport                                                    ,PG         ,Gurney                                     ,GUR
small_airport ,Gusap Airport                                                     ,PG         ,Gusap                                      ,GAP
medium_airport,Girua Airport                                                     ,PG         ,Popondetta                                 ,PNP
small_airport ,Gasuke Airport                                                    ,PG         ,Gasuke                                     ,GBC
small_airport ,Habi Airport                                                      ,PG         ,Habi                                       ,HBD
small_airport ,Heiweni Airport                                                   ,PG         ,Heiweni                                    ,HNI
small_airport ,Honinabi Airport                                                  ,PG         ,Honinabi                                   ,HNN
medium_airport,Kimbe Airport                                                     ,PG         ,Hoskins                                    ,HKN
small_airport ,Haivaro Airport                                                   ,PG         ,Haivaro                                    ,HIT
small_airport ,Imane Airport                                                     ,PG         ,Imane                                      ,IMN
small_airport ,Kungim Airport                                                    ,PG         ,Kungim                                     ,KGM
small_airport ,Imonda Airport                                                    ,PG         ,Imonda                                     ,IMD
small_airport ,Ialibu Airport                                                    ,PG         ,Ialibu                                     ,IAL
small_airport ,Witu Airport                                                      ,PG         ,Garove Island                              ,WIU
small_airport ,Yongai Airport                                                    ,PG         ,Yongai                                     ,KGH
small_airport ,Losuia Airport                                                    ,PG         ,Losuia                                     ,LSA
small_airport ,Kopiago Airport                                                   ,PG         ,Kopiago                                    ,KPA
small_airport ,Kiunga Airport                                                    ,PG         ,Kiunga                                     ,UNG
small_airport ,Kanainj Airport                                                   ,PG         ,Kanainj                                    ,KNE
small_airport ,Kikori Airport                                                    ,PG         ,Kikori                                     ,KRI
medium_airport,Kerema Airport                                                    ,PG         ,Kerema                                     ,KMA
small_airport ,Kar Kar Airport                                                   ,PG         ,Kar Kar Island                             ,KRX
small_airport ,Aropa Airport                                                     ,PG         ,Kieta                                      ,KIE
small_airport ,Kuri Airport                                                      ,PG         ,Kuri                                       ,KUQ
medium_airport,Kavieng Airport                                                   ,PG         ,Kavieng                                    ,KVG
small_airport ,Londolovit Airport                                                ,PG         ,Londolovit                                 ,LNV
small_airport ,Lab Lab Airport                                                   ,PG         ,Lab Lab Mission                            ,LAB
small_airport ,Lowai Airport                                                     ,PG         ,Lowai                                      ,LWI
small_airport ,Leron Plains Airport                                              ,PG         ,Leron Plains                               ,LPN
small_airport ,Lese Airport                                                      ,PG         ,Lese                                       ,LNG
small_airport ,Long Island Airport                                               ,PG         ,Long Island                                ,LSJ
small_airport ,Manari Airport                                                    ,PG         ,Manari                                     ,MRM
small_airport ,Morobe Airport                                                    ,PG         ,Morobe                                     ,OBM
medium_airport,Madang Airport                                                    ,PG         ,Madang                                     ,MAG
medium_airport,Mount Hagen Kagamuga Airport                                      ,PG         ,Mount Hagen                                ,HGU
small_airport ,Mougulu Airport                                                   ,PG         ,Mougulu                                    ,GUV
medium_airport,Mendi Airport                                                     ,PG         ,Mendi                                      ,MDU
medium_airport,Momote Airport                                                    ,PG         ,Manus Island                               ,MAS
small_airport ,Moro Airport                                                      ,PG         ,Moro                                       ,MXH
small_airport ,Misima Island Airport                                             ,PG         ,Misima Island                              ,MIS
small_airport ,Marawaka Airport                                                  ,PG         ,Marawaka                                   ,MWG
small_airport ,Nankina Airport                                                   ,PG         ,Gwarawon                                   ,NKN
small_airport ,Negarbo(Negabo) Airport                                           ,PG         ,Negarbo                                    ,GBF
small_airport ,Manguna Airport                                                   ,PG         ,Manguna                                    ,MFO
small_airport ,Kasonombe Airport                                                 ,PG         ,Kasonombe                                  ,KSB
small_airport ,Nomane Airport                                                    ,PG         ,Namane                                     ,NMN
small_airport ,Nambaiyufa Airport                                                ,PG         ,Nambaiyufa                                 ,NBA
medium_airport,Nadzab Airport                                                    ,PG         ,Lae                                        ,LAE
small_airport ,Konge Airport                                                     ,PG         ,Konge                                      ,KGB
small_airport ,Oksapmin Airport                                                  ,PG         ,Oksapmin                                   ,OKP
small_airport ,Komako Airport                                                    ,PG         ,Komako                                     ,HOC
small_airport ,Komaio Airport                                                    ,PG         ,Komaio                                     ,KCJ
small_airport ,Koroba Airport                                                    ,PG         ,Koroba                                     ,KDE
small_airport ,Open Bay Airport                                                  ,PG         ,Maitanakunai                               ,OPB
small_airport ,Pangoa Airport                                                    ,PG         ,Pangoa                                     ,PGB
small_airport ,Pangia Airport                                                    ,PG         ,Pangia                                     ,PGN
small_airport ,Mapoda Airport                                                    ,PG         ,Mapoda                                     ,MPF
small_airport ,Pumani Airport                                                    ,PG         ,Pumani                                     ,PMN
large_airport ,Port Moresby Jacksons International Airport                       ,PG         ,Port Moresby                               ,POM
small_airport ,Sopu Airport                                                      ,PG         ,Sopu                                       ,SPH
small_airport ,Sialum Airport                                                    ,PG         ,Sialum                                     ,SXA
small_airport ,Karimui Airport                                                   ,PG         ,Karimui                                    ,KMR
small_airport ,Maramuni Airport                                                  ,PG         ,Maramuni                                   ,MWI
small_airport ,May River Airstrip                                                ,PG         ,May River                                  ,MRH
small_airport ,Simberi Airport                                                   ,PG         ,Simberi Island                             ,NIS
small_airport ,Sila Airport                                                      ,PG         ,Sila Mission                               ,SIL
small_airport ,Sabah Airport                                                     ,PG         ,Sabah                                      ,SBV
small_airport ,Simbai Airport                                                    ,PG         ,Simbai                                     ,SIM
small_airport ,Selbang Airport                                                   ,PG         ,Selbang                                    ,SBC
small_airport ,Sepik Plains Airport                                              ,PG         ,Sepik Plains                               ,SPV
small_airport ,Sauren Airport                                                    ,PG         ,Sauren                                     ,SXW
small_airport ,Masa Airport                                                      ,PG         ,Masa                                       ,MBV
small_airport ,Tari Airport                                                      ,PG         ,Tari                                       ,TIZ
small_airport ,Tabubil Airport                                                   ,PG         ,Tabubil                                    ,TBG
small_airport ,Tapini Airport                                                    ,PG         ,Tapini                                     ,TPI
medium_airport,Tokua Airport                                                     ,PG         ,Tokua                                      ,RAB
small_airport ,Tekin Airport                                                     ,PG         ,Tekin                                      ,TKW
small_airport ,Tep Tep Airport                                                   ,PG         ,Teptep                                     ,TEP
small_airport ,Tsewi Airport                                                     ,PG         ,Tsewi                                      ,TSW
small_airport ,Tarakbits Airport                                                 ,PG         ,Tarakbits                                  ,TRJ
small_airport ,Tawa Airport                                                      ,PG         ,Tawa                                       ,TWY
small_airport ,Tekadu Airport                                                    ,PG         ,Tekadu                                     ,TKB
small_airport ,Aiyura Airport                                                    ,PG         ,Aiyura Valley                              ,AYU
small_airport ,Umba Airport                                                      ,PG         ,Umba                                       ,UMC
small_airport ,Uroubi Airport                                                    ,PG         ,Uroubi                                     ,URU
small_airport ,Upiara Airport                                                    ,PG         ,Upiara                                     ,UPR
small_airport ,Uvol Airport                                                      ,PG         ,Uvol                                       ,UVO
small_airport ,Talasea Airport                                                   ,PG         ,Talasea                                    ,TLW
small_airport ,Torembi Airport                                                   ,PG         ,Torembi                                    ,TCJ
medium_airport,Vanimo Airport                                                    ,PG         ,Vanimo                                     ,VAI
small_airport ,Tonu Airport                                                      ,PG         ,Tonu                                       ,TON
small_airport ,Wabo Airport                                                      ,PG         ,Wabo                                       ,WAO
small_airport ,Wawoi Falls Airport                                               ,PG         ,Wavoi Falls                                ,WAJ
medium_airport,Wewak International Airport                                       ,PG         ,Wewak                                      ,WWK
small_airport ,Wonenara Airport                                                  ,PG         ,Wonenara                                   ,WOA
small_airport ,Wakunai Airport                                                   ,PG         ,Wakunai                                    ,WKN
small_airport ,Wasu Airport                                                      ,PG         ,Wasu                                       ,WSU
small_airport ,Woitape Airport                                                   ,PG         ,Fatima Mission                             ,WTP
small_airport ,Wau Airport                                                       ,PG         ,Wau                                        ,WUG
small_airport ,Yeva Airport                                                      ,PG         ,Yeva                                       ,YVD
small_airport ,Sim Airport                                                       ,PG         ,Sim                                        ,SMJ
small_airport ,Weam Airport                                                      ,PG         ,Weam                                       ,WEP
small_airport ,Yalumet Airport                                                   ,PG         ,Yalumet                                    ,KYX
small_airport ,Yasuru Airport                                                    ,PG         ,Yasuru                                     ,KSX
small_airport ,Wasum Airport                                                     ,PG         ,Wasum                                      ,WUM
medium_airport,Zabrat Airport                                                    ,AZ         ,Baku                                       ,ZXT
small_airport ,Bali Airport                                                      ,PG         ,Unea Island                                ,BAJ
small_airport ,Branson Airport                                                   ,US         ,Branson                                    ,BKG
small_airport ,Bambu Airport                                                     ,PG         ,Bambu                                      ,BCP
medium_airport,Benguera Island Airport                                           ,MZ         ,Benguera Island                            ,BCW
small_airport ,Milyakburra Airport                                               ,AU         ,Bickerton Island                           ,BCZ
small_airport ,Willmar Municipal -John L Rice Field                              ,US         ,Willmar                                    ,ILL
small_airport ,Malevo Airport                                                    ,BG         ,Haskovo                                    ,HKV
medium_airport,Bezmer Air Base                                                   ,BG         ,Yambol                                     ,JAM
medium_airport,Aasiaat Airport                                                   ,GL         ,Aasiaat                                    ,JEG
medium_airport,Narsarsuaq Airport                                                ,GL         ,Narsarsuaq                                 ,UAK
small_airport ,Neerlerit Inaat Airport                                           ,GL         ,Neerlerit Inaat                            ,CNP
medium_airport,Godthaab / Nuuk Airport                                           ,GL         ,Nuuk                                       ,GOH
small_airport ,Ilulissat Airport                                                 ,GL         ,Ilulissat                                  ,JAV
small_airport ,Kulusuk Airport                                                   ,GL         ,Kulusuk                                    ,KUS
small_airport ,Maniitsoq Airport                                                 ,GL         ,Maniitsoq                                  ,JSU
small_airport ,Bongo Airport                                                     ,GA         ,Bongo                                      ,BGP
small_airport ,Paamiut Airport                                                   ,GL         ,Paamiut                                    ,JFR
small_airport ,Qaanaaq Airport                                                   ,GL         ,Qaanaaq                                    ,NAQ
medium_airport,Kangerlussuaq Airport                                             ,GL         ,Kangerlussuaq                              ,SFJ
medium_airport,Sisimiut Airport                                                  ,GL         ,Sisimiut                                   ,JHS
medium_airport,Thule Air Base                                                    ,GL         ,Thule                                      ,THU
small_airport ,Upernavik Airport                                                 ,GL         ,Upernavik                                  ,JUV
small_airport ,Qaarsut Airport                                                   ,GL         ,Uummannaq                                  ,JQA
small_airport ,BahÃ­a de los Ãngeles Airport                                    ,MX         ,BahÃ­a de los Ãngeles                     ,BHL
medium_airport,Akureyri Airport                                                  ,IS         ,Akureyri                                   ,AEY
small_airport ,Bildudalur Airport                                                ,IS         ,Bildudalur                                 ,BIU
small_airport ,BorgarfjÃ¶rÃ°ur eystri Airport                                    ,IS         ,BorgarfjÃ¶rÃ°ur eystri                     ,BGJ
small_airport ,BakkafjÃ¶rÃ°ur Airport                                            ,IS         ,BakkafjÃ¶rÃ°ur                             ,BJD
small_airport ,Hjaltabakki Airport                                               ,IS         ,BlÃ¶nduÃ³s                                 ,BLO
small_airport ,BÃºÃ°ardalur Airport                                              ,IS         ,BÃºÃ°ardalur                               ,BQD
small_airport ,BreiÃ°dalsvÃ­k Airport                                            ,IS         ,BreiÃ°dalsvÃ­k                             ,BXV
small_airport ,DjÃºpivogur Airport                                               ,IS         ,DjÃºpivogur                                ,DJU
medium_airport,EgilsstaÃ°ir Airport                                              ,IS         ,EgilsstaÃ°ir                               ,EGS
small_airport ,FÃ¡skrÃºÃ°sfjÃ¶rÃ°ur Airport                                      ,IS         ,FÃ¡skrÃºÃ°sfjÃ¶rÃ°ur                       ,FAS
